Name,Slug,Code,Brand,Studio,Platform,Status,Window,Color,Summary,Featured,PlayUrl
UNO!,uno,LV-01,UNO,Mattel163,"iOS, Android",Live,,#EA0029,The world's number-one card game on mobile. Free-to-play with seasonal events from Mattel163.,true,https://www.letsplayuno.com/
UNO Wonder,uno-wonder,LV-02,UNO,Mattel163,"iOS, Android",Live,,#EB50B2,The next evolution of UNO from Mattel163 — global launch September 2025.,true,https://www.mattel163.com/
Phase 10,phase-10,LV-03,Phase 10,Mattel163,"iOS, Android",Live,,#FFBE33,Mattel163's mobile take on the Phase 10 card game.,false,https://www.mattel163.com/
Skip-Bo,skip-bo,LV-04,Skip-Bo,Mattel163,"iOS, Android",Live,,#49A0DB,Skip-Bo on iOS and Android from Mattel163.,false,https://www.mattel163.com/
UNO Royale,uno-royale,LV-05,UNO,Look North World,"Fortnite, UEFN",Live,,#0E7C7B,Elimination-format party experience for up to sixteen players, built with Look North World.,true,https://www.fortnite.com/
UNO: Bridge Clash,uno-bridge-clash,LV-06,UNO,Preloaded,Roblox,Live,,#7A34B7,Physics-driven Roblox obstacle course where cards drive movement and sabotage. Built with Preloaded.,false,https://www.roblox.com/
Hot Wheels Let's Race: Ultimate Speed,hot-wheels-lets-race-ultimate-speed,LV-07,Hot Wheels,"GameMill, Bamtang","Switch, PS5, Xbox, PC",Live,,#FF6A00,High-octane arcade racer inspired by the Netflix animated series.,true,https://hotwheelsunleashed.com/
Hot Wheels Race Off+,hot-wheels-race-off-plus,LV-08,Hot Wheels,Hutch,Apple Arcade,Live,,#EA0029,Hot Wheels Race Off+ on Apple Arcade — developed by Hutch.,false,https://www.apple.com/apple-arcade/
Skeletor Runner,skeletor-runner,MGS-01,Masters of the Universe,Mattel Games Studio,"iOS, Android",Coming,May 2026,#2F6D3F,An endless-runner mobile original starring Skeletor — Mattel Games Studio's first self-published title, launching May 2026 ahead of the MOTU feature film.,true,
UNO — Next,uno-next,MGS-02,UNO,Mattel Games Studio,"iOS, Android",Coming,2026,#EA0029,A new UNO mobile experience in development. Part of the 2026 self-publishing slate.,false,
Project Wild,project-wild,MGS-03,Mattel IP,Mattel Games Studio,"iOS, Android",Coming,Sep 2026,#7A34B7,Mattel Games Studio's second self-published mobile original. Reveal scheduled for September 2026; codename Project Wild.,false,
MOTU: Legends Unite,motu-legends-unite,LIC-03,Masters of the Universe,"Bandit Island, Amazon Games",Amazon Luna,Coming,Jun 5 2026,#EA9B2F,Cloud-native GameNight co-op launching day-and-date with the MOTU feature film.,true,
Project Quill,project-quill,DX-04,Digital Experiences,MDS Digital Experiences,"Mobile, Companion",Coming,2026,#0E7C7B,A companion-app initiative from MDS Digital Experiences connecting a Mattel toy line to an accompanying mobile experience. Details to be shared closer to launch.,false,
