Title,Slug,Tag,Date,Byline,Summary,Body
"MOTU: Legends Unite launches June 5 on Amazon Luna",motu-legends-unite-launches-june-5-on-amazon-luna,Announcement,2026-03-31,MDS Newsroom · El Segundo,"GameNight cloud co-op blending roguelike deck-building with arcade mini-games, launching day-and-date with the Masters of the Universe feature film across 14 countries. Developed by Bandit Island Studios and published by Amazon Games.","Mattel Digital Studios, Amazon Games and Dublin-based Bandit Island today announced MOTU: Legends Unite, a cloud-native co-op adventure arriving exclusively on Amazon Luna on June 5, 2026 — day-and-date with the theatrical release of the Masters of the Universe feature film.

Built in the GameNight format, Legends Unite pairs roguelike deck-building with a rotating set of arcade-style mini-games. Up to four players join from any supported Luna device — phone, tablet, TV, or PC — with no download and no install. A session is designed to fit inside an evening.

""Luna lets us put a real, full co-op game in front of fans the same night they leave the cinema,"" said a spokesperson for Mattel Digital Studios. ""No console required, no patching — just hit play.""

The title will launch in 14 countries at release and is the first of several GameNight collaborations planned between MDS, Bandit Island and Amazon Games. Additional details, including pricing and the full character roster, will be shared in May."
"UNO enters Fortnite and Roblox",uno-enters-fortnite-and-roblox,Partnership,2026-02-26,MDS Newsroom · El Segundo,"UNO Royale arrives on Fortnite via Unreal Editor for Fortnite, developed with Look North World. UNO: Bridge Clash arrives on Roblox with Preloaded. Game night, reimagined.","Mattel Digital Studios today announced the arrival of UNO on two of the world's largest creator platforms: UNO Royale on Fortnite, and UNO: Bridge Clash on Roblox. Both titles are live now.

UNO Royale, built with Toronto-based Look North World using Unreal Editor for Fortnite, reimagines the classic card game as an elimination-format party experience for up to sixteen players. UNO: Bridge Clash, developed by London's Preloaded, transports the game to a physics-driven Roblox obstacle course where cards drive movement and sabotage.

The releases mark the third pillar of Mattel's digital strategy — expansion on creator platforms — moving from strategy slide to shipped product. UNO passed one billion lifetime mobile downloads earlier this year across the Mattel163 portfolio; creator platforms extend the franchise to audiences who have never opened an app store.

More Mattel properties are expected on both platforms through 2026."
"Three pillars of Mattel's digital strategy",three-pillars-of-mattels-digital-strategy,Strategy,2026-02-10,MDS Newsroom · El Segundo,"Licensing with world-class partners including Take-Two, Xbox, SuperCell, Netflix and Apple Arcade. Self-publishing of original mobile games, with the first two titles expected in 2026. Expanding on creator platforms such as Roblox and Fortnite.","On the same day Mattel announced its agreement to acquire the balance of Mattel163, the company formally outlined the three-pillar digital strategy that Mattel Digital Studios has been operating against since its formation.

Pillar one — licensing — pairs Mattel's IP with world-class publishers and developers. Active partners include Take-Two Interactive, Xbox, SuperCell, Netflix, Apple Arcade and Amazon Games.

Pillar two — self-publishing — funds and ships original mobile games from Mattel Games Studio. The first two original titles from this group are scheduled for 2026.

Pillar three — creator platforms — brings Mattel properties to Roblox, Fortnite and the platforms that come next. UNO Royale and UNO: Bridge Clash, both shipped in February 2026, are the first outputs of this pillar.

Taken together, the three pillars give MDS a portfolio that can absorb platform shifts without betting the company on any single one."
"Hot Wheels Let's Race: Ultimate Speed out now on consoles and PC",hot-wheels-lets-race-ultimate-speed-launch,Launch,2025-10-24,MDS Newsroom · El Segundo,"The high-octane arcade racer inspired by the hit Netflix animated series launched on Nintendo Switch, PlayStation 5, Xbox Series X|S and PC via Steam. Developed by Bamtang Games, published by GameMill Entertainment.","Hot Wheels Let's Race: Ultimate Speed is available now on Nintendo Switch, PlayStation 5, Xbox Series X|S and PC via Steam. The arcade racer is developed by Lima-based Bamtang Games and published globally by GameMill Entertainment, under license from Mattel.

The game draws its roster, tracks and tone from the Netflix animated series of the same name, with sixteen story episodes, split-screen multiplayer for up to four players, and a free-roam garage mode. Cars can be customised with paint, wheels and performance parts unlocked through play.

Ultimate Speed extends the Hot Wheels digital portfolio alongside Hot Wheels Race Off+ on Apple Arcade, and slots into a broader Hot Wheels release plan that continues through 2026."
"Mattel highlights 2026 digital inflection at UBS Global Consumer Conference",mattel-highlights-2026-digital-inflection-ubs,Announcement,2026-03-12,Mattel Inc. · El Segundo,"Chairman and CEO Ynon Kreiz and CFO Paul Ruh point to the completion of the Mattel163 acquisition and the launch of the first two self-published digital games as key 2026 milestones for the company's entertainment offering.","Mattel, Inc. (NASDAQ: MAT) participated in a keynote presentation at the UBS Global Consumer and Retail Conference on Thursday, March 12, 2026, with Chairman and CEO Ynon Kreiz and CFO Paul Ruh on stage.

Management discussed the company's outlook for 2026 and beyond, including an inflection in its entertainment offering: the completion of the Mattel163 acquisition, the launch of Mattel's first two self-published digital games, and the release of two theatrical films based on Mattel IP.

Growth categories highlighted for the year include Vehicles, Games, and Action Figures, with Hot Wheels expected to grow double-digits and UNO and Mattel Brick Shop anticipated to carry strong momentum.

A replay of the keynote is available on Mattel's Investor Relations website at investors.mattel.com."
"Mattel to acquire full ownership of Mattel163 mobile games studio",mattel-to-acquire-full-ownership-of-mattel163,Corporate,2026-02-10,Mattel Inc. · El Segundo,"Mattel agrees with joint-venture partner NetEase to acquire the remaining 50% of Mattel163, the studio behind UNO!, UNO Wonder, Phase 10 and Skip-Bo. Transaction values the studio at $318M; expected to close by end of Q1 2026.","Mattel, Inc. (Nasdaq: MAT) today announced an agreement with its joint venture partner, NetEase, to acquire full ownership of the Mattel163 mobile games studio. The transaction values Mattel163 at $318 million, with a purchase price of $159 million for NetEase's 50 percent interest, and is expected to be completed by the end of Q1, subject to customary closing conditions.

Mattel163 develops digital games based on Mattel's iconic brands. Since its inception in 2018, Mattel163 has released four games based on Mattel IP — UNO!, UNO Wonder, Phase 10 and Skip Bo — with approximately 20 million monthly active users and over 550 million downloads worldwide.

Acquiring full control of Mattel163 meaningfully advances Mattel's digital games business and will add significant development, publishing, and digital customer-acquisition expertise. Mattel will leverage Mattel163 capabilities to increase its mobile games output and enhance alignment with the broader Mattel product roadmap."
"Mattel expands Roblox collaboration with new slate of games",mattel-expands-roblox-collaboration-2025,Partnership,2025-10-15,Mattel Inc. / Roblox Corporation,"Monster High debuts October 24 as Mattel's premier self-published Roblox experience, with Barbie, Hot Wheels, Masters of the Universe and UNO to follow.","Mattel, Inc. (NASDAQ: MAT) and Roblox Corporation (NYSE: RBLX) today announced an expanded collaboration to introduce a series of new Roblox titles inspired by some of Mattel's most celebrated brands.

Monster High, Mattel's premier self-published Roblox experience, debuts October 24. Fans step inside the haunted halls of Monster High, customise their pet ""Creepanions,"" craft powerful elixirs in Frankie Stein's Alchemy Lab, and join Clawdeen Wolf's pack to fuel the legendary Ghoulstone for fang-tastic rewards.

Additional experiences will follow, bringing beloved franchises like Barbie, Hot Wheels, Masters of the Universe, UNO, and more to life through a dynamic lineup of standalone Mattel games on Roblox."
"UNO Wonder hits App Store and Google Play worldwide",uno-wonder-launches-worldwide,Launch,2025-09-17,Mattel163 · Los Angeles / Hangzhou,"Mattel163's next evolution of the UNO franchise arrives globally on iOS and Android, joining UNO!, Phase 10 and Skip-Bo in the studio's portfolio of 500M+ downloads and ~20M monthly active users.","UNO Wonder, the next evolution of the UNO franchise from Mattel163, is now available worldwide on the App Store and Google Play.

The launch extends Mattel163's UNO portfolio, which already includes the flagship UNO! mobile game. Collectively, Mattel163's slate of UNO!, UNO Wonder, Phase 10 and Skip-Bo has amassed over 550 million downloads worldwide and approximately 20 million monthly active users."
"Mattel and Outright Games launch multi-year console and PC partnership",mattel-outright-games-multi-year-partnership,Partnership,2024-05-22,Mattel Inc. · El Segundo,"A multi-year collaboration to create a series of console and PC titles across Mattel's franchise portfolio, opening with Matchbox Driving Adventures, Monster High: Skulltimate Secrets, and Barbie Project Friendship.","Mattel and Outright Games today announced a multi-year partnership to develop a series of games for consoles and PC, drawing on Mattel's franchise portfolio.

The partnership begins with three new games for all consoles and PC slated for release in the following year: Matchbox Driving Adventures, Monster High: Skulltimate Secrets, and Barbie Project Friendship.

The collaboration extends Mattel's licensing pillar on console and PC, pairing its IP with a publisher focused on family-friendly interactive entertainment."
"Mattel and OpenAI announce strategic collaboration",mattel-openai-strategic-collaboration,Partnership,2025-06-12,Mattel Inc. / OpenAI,"Mattel and OpenAI announce a strategic collaboration to bring the magic of AI to age-appropriate play experiences — combining Mattel's iconic brands and creative expertise with OpenAI's advanced AI capabilities.","Mattel and OpenAI today announced a strategic collaboration to support Mattel's consumer products and experiences, alongside deploying OpenAI's advanced AI capabilities — including ChatGPT Enterprise — across Mattel's internal workforce.

The collaboration combines Mattel's iconic portfolio of brands and creative range with OpenAI's leading AI technology, with a shared commitment to safety, age-appropriateness and privacy. For Mattel Digital Studios, the partnership opens new frontiers for AI-enabled play experiences across Mattel's digital portfolio."
